timestamp,thread,task,version,property_id,current_review_count,current_rating_sum,redis_read_elapsed_ms
2025-12-19 20:33:28.899,http-nio-8185-exec-1,TASK_1,V2_INCREMENTAL,94cc9332fc563819f37e0947eefe3634,1,4,2.58
2025-12-19 20:33:34.111,http-nio-8185-exec-2,TASK_1,V2_INCREMENTAL,4946dde4b54da695692a0927a4548dfb,1,4,0.44
2025-12-19 20:33:38.992,http-nio-8185-exec-4,TASK_1,V2_INCREMENTAL,3ba1d0d29ef3b9432e09901f16e2e85d,1,4,0.41
2025-12-19 20:33:42.731,http-nio-8185-exec-5,TASK_1,V2_INCREMENTAL,45ec86ddbd6c69095dd90b21b5d1e53c,1,4,0.4
2025-12-19 20:33:46.439,http-nio-8185-exec-6,TASK_1,V2_INCREMENTAL,7ac6fa3aa251136ba5e6fccf3196a09e,1,4,0.38
2025-12-19 20:33:50.447,http-nio-8185-exec-3,TASK_1,V2_INCREMENTAL,815b7115f9ae25d17a0bbd6511b933b5,1,4,0.46
2025-12-19 20:33:54.441,http-nio-8185-exec-7,TASK_1,V2_INCREMENTAL,43392cb84e5a2cb568a500728447dcf0,1,4,0.45
2025-12-19 20:33:58.133,http-nio-8185-exec-8,TASK_1,V2_INCREMENTAL,9787fbe6d4c2e3f5f13567b8c262b4b2,1,4,0.42
2025-12-19 20:34:01.599,http-nio-8185-exec-10,TASK_1,V2_INCREMENTAL,56c2bccdf1fbeb5faed79f68c1b345c1,1,4,0.47
2025-12-19 20:34:05.859,http-nio-8185-exec-9,TASK_1,V2_INCREMENTAL,49f081dea4cdfa75541a40b8ac8285c4,1,4,0.4
